Country,ISO3,PM25,PM10,NO2
Afghanistan,AFG,119.77,0.0,0.0
Albania,ALB,10.32,0.0,0.0
Algeria,DZA,21.53,0.0,0.0
Andorra,AND,0.0,24.58,31.01
Argentina,ARG,0.0,25.5,18.25
Australia,AUS,6.698695652173913,16.82536231884058,2.9907246376811596
Austria,AUT,3.3451724137931036,12.959137931034483,15.488706896551724
Bahamas,BHS,4.06,4.49,0.0
Bahrain,BHR,43.38999999999999,115.95666666666665,34.416666666666664
Bangladesh,BGD,86.48,0.0,0.0
Belgium,BEL,8.28225806451613,14.152903225806451,17.23016129032258
Bosnia and Herzegovina,BIH,12.985555555555557,30.88888888888889,14.042222222222222
Brazil,BRA,3.2295348837209303,22.81093023255814,12.618139534883722
Bulgaria,BGR,3.9920689655172414,29.003103448275862,10.117931034482758
Canada,CAN,5.5264999999999995,1.3972222222222221,8.69838888888889
Chile,CHL,17.6025,28.871750000000002,4.5265
China,CHN,38.508755144032925,0.31929012345679014,0.0
Colombia,COL,15.735454545454546,12.489090909090908,0.0
Costa Rica,CRI,7.4,0.0,0.0
Croatia,HRV,8.06764705882353,12.962941176470588,10.075882352941177
Cyprus,CYP,13.025,18.1125,7.4575
Czechia,CZE,8.7123,17.869600000000002,8.1187
Denmark,DNK,5.69,10.472222222222221,10.703333333333333
Estonia,EST,4.5975,8.155,5.585
Ethiopia,ETH,20.48,0.0,0.0
Finland,FIN,2.1233333333333335,9.871,7.34
France,FRA,3.6080845070422534,13.955521126760564,13.983521126760563
Germany,DEU,4.659020172910663,11.841527377521615,20.843458213256486
Greece,GRC,8.862105263157895,26.38,15.551578947368421
Guatemala,GTM,14.0,0.0,0.0
Hungary,HUN,5.757222222222222,22.150555555555556,15.804444444444446
Iceland,ISL,2.4924999999999997,8.41,8.5325
India,IND,14.49146814404432,89.93847645429364,20.36257617728532
Indonesia,IDN,46.35,0.0,0.0
Iran (Islamic Republic of),IRN,22.76809523809524,0.0,4.103809523809524
Iraq,IRQ,43.339999999999996,0.0,54.416666666666664
Ireland,IRL,5.256818181818182,12.271363636363638,8.237272727272726
Italy,ITA,7.464,19.2776091954023,18.83105747126437
Jordan,JOR,6.7075,55.4025,23.36
Kazakhstan,KAZ,21.77,0.0,0.0
Kenya,KEN,10.79,22.75,0.0
Kuwait,KWT,40.74333333333333,74.67333333333333,23.465000000000003
Kyrgyzstan,KGZ,33.15,0.0,0.0
Lao People's Democratic Republic,LAO,25.77,0.0,0.0
Latvia,LVA,11.434000000000001,19.875999999999998,13.040000000000001
Lithuania,LTU,6.581999999999999,23.756,13.113
Luxembourg,LUX,3.422857142857143,9.06,18.228571428571428
Madagascar,MDG,19.0,74.0,0.0
Malaysia,MYS,20.966874999999998,29.320625,13.470625
Malta,MLT,11.8,22.4025,14.9575
Mauritius,MUS,0.0,24.45,4.983333333333333
Monaco,MCO,0.0,14.0,32.0
Mongolia,MNG,60.0,124.0,0.0
Montenegro,MNE,0.0,0.0,14.89
Morocco,MAR,0.0,30.11,3.5700000000000003
Myanmar,MMR,18.08,0.0,0.0
Nepal,NPL,26.095454545454547,36.873636363636365,0.0
Netherlands,NLD,6.587924528301888,17.002075471698113,17.802075471698114
North Macedonia,MKD,0.0,13.045,17.42
Norway,NOR,5.555555555555555,13.25361111111111,16.72416666666667
Pakistan,PAK,71.855,0.0,5.635
Peru,PER,30.14,0.0,0.0
Poland,POL,8.284723618090453,25.04221105527638,8.884371859296483
Portugal,PRT,1.8704081632653062,13.15938775510204,12.951428571428572
Qatar,QAT,41.0,208.0,42.0
Republic of Korea,KOR,22.705882352941178,40.23529411764706,32.51294117647059
Romania,ROU,0.8183333333333334,14.75025641025641,18.488589743589742
Saudi Arabia,SAU,34.12,0.0,0.0
Senegal,SEN,0.0,136.26,16.79
Serbia,SRB,0.0,30.028,21.839
Singapore,SGP,16.0,0.0,23.0
Slovakia,SVK,13.581935483870968,19.423548387096773,11.40741935483871
Slovenia,SVN,3.5578571428571424,20.625,12.143571428571429
South Africa,ZAF,15.812000000000001,38.702,13.983500000000001
Spain,ESP,2.7735197368421054,13.465526315789473,13.55424342105263
Sri Lanka,LKA,23.58,0.0,0.0
Sweden,SWE,1.8744444444444444,11.764814814814814,11.184814814814816
Switzerland,CHE,5.525714285714286,12.405904761904763,18.74742857142857
Tajikistan,TJK,71.52,0.0,0.0
Thailand,THA,23.215,39.694411764705876,14.833823529411765
Trinidad and Tobago,TTO,11.933333333333332,28.5,8.266666666666667
Turkey,TUR,8.223333333333333,41.53880341880342,17.072735042735044
Turkmenistan,TKM,22.08,0.0,0.0
Uganda,UGA,60.15,0.0,0.0
Ukraine,UKR,23.36,31.19,0.0
United Arab Emirates,ARE,18.256,103.564,35.094
United Kingdom,GBR,5.271351351351352,8.093783783783783,20.89333333333333
United States of America,USA,2.6075,11.52825,7.0736875
Uzbekistan,UZB,41.96,0.0,0.0
Viet Nam,VNM,39.355000000000004,0.0,0.0
