Entity,Code,Year,Suspended Particulate Matter (SPM) (Fouquet and DPCC (2011))
London,,1919,514.0495868
London,,1920,505.785124
London,,1921,497.5206612
London,,1922,489.2561983
London,,1923,480.9917355
London,,1924,472.7272727
London,,1925,409.0909091
London,,1926,363.6363636
London,,1927,360
London,,1928,358.1818182
London,,1929,360
London,,1930,361.8181818
London,,1931,363.6363636
London,,1932,381.8181818
London,,1933,400
London,,1934,403.6363636
London,,1935,409.0909091
London,,1936,405.4545455
London,,1937,401.8181818
London,,1938,400
London,,1939,384.0909091
London,,1940,368.1818182
London,,1941,352.2727273
London,,1942,336.3636364
London,,1943,320.4545455
London,,1944,304.5454545
London,,1945,288.6363636
London,,1946,272.7272727
London,,1947,256.8181818
London,,1948,240.9090909
London,,1949,225
London,,1950,209.0909091
London,,1951,204.8562368
London,,1952,200.6215645
London,,1953,196.3868922
London,,1954,192.1522199
London,,1955,187.9175476
London,,1956,183.6828753
London,,1957,179.448203
London,,1958,175.2135307
London,,1959,170.9788584
London,,1960,166.744186
London,,1961,162.5095137
London,,1962,158.2748414
London,,1963,154.0401691
London,,1964,149.8054968
London,,1965,145.5708245
London,,1966,141.3361522
London,,1967,137.1014799
London,,1968,132.8668076
London,,1969,128.6321353
London,,1970,124.397463
London,,1971,120.1627907
London,,1972,115.9281184
London,,1973,111.6934461
London,,1974,107.4587738
London,,1975,103.2241015
London,,1976,98.98942918
London,,1977,94.75475687
London,,1978,90.52008457
London,,1979,86.28541226
London,,1980,82.05073996
London,,1981,77.81606765
London,,1982,73.58139535
London,,1983,69.34672304
London,,1984,65.11205074
London,,1985,60.87737844
London,,1986,56.64270613
London,,1987,52.40803383
London,,1988,48.17336152
London,,1989,43.93868922
London,,1990,39.70401691
London,,1991,35.46934461
London,,1992,31.2346723
London,,1993,27
London,,1994,26
London,,1995,26
London,,1996,26
London,,1997,25
London,,1998,25
London,,1999,25
London,,2000,25
London,,2001,23.22
London,,2002,23
London,,2003,24.79
London,,2004,22.03
London,,2005,22.35
London,,2006,23.82
London,,2007,21.56
London,,2008,18.81
London,,2009,19
London,,2010,20
London,,2011,20
London,,2012,17
London,,2013,17
London,,2014,17
London,,2015,15
London,,2016,16
